timestamp,buoy_id,latitude,longitude,wind_speed,sea_level_pressure,significant_wave_height
2023-06-01 00:00:00,B01,23.1971,120.1251,4.06,972.8,0.38
2023-06-01 00:00:00,B02,21.3751,121.1161,3.75,1039.6,0.3
2023-06-01 00:00:00,B03,23.6824,123.3835,4.78,1031.2,0.5
2023-06-01 00:00:00,B04,24.4609,120.4347,4.12,983.4,0.37
2023-06-01 00:00:00,B05,22.1096,120.149,4.59,1060.9,0.42
2023-06-01 00:00:00,B06,21.0932,122.5268,4.64,1026.1,0.45
2023-06-01 00:00:00,B07,20.1327,120.9942,2.94,1030.7,0.2
2023-06-01 00:00:00,B08,23.2494,122.7247,3.86,994.0,0.33
2023-06-01 00:00:00,B09,21.1022,122.9463,4.68,1001.0,0.47
2023-06-01 00:00:00,B10,24.0472,120.0325,3.73,1050.4,0.29
2023-06-01 01:00:00,B01,23.1971,120.1251,4.55,1037.3,0.45
2023-06-01 01:00:00,B02,21.3751,121.1161,4.07,1033.4,0.35
2023-06-01 01:00:00,B03,23.6824,123.3835,5.03,980.8,0.58
2023-06-01 01:00:00,B04,24.4609,120.4347,4.26,963.5,0.43
2023-06-01 01:00:00,B05,22.1096,120.149,4.47,973.8,0.47
2023-06-01 01:00:00,B06,21.0932,122.5268,4.93,1063.4,0.48
2023-06-01 01:00:00,B07,20.1327,120.9942,3.34,1034.6,0.23
2023-06-01 01:00:00,B08,23.2494,122.7247,4.34,981.4,0.43
2023-06-01 01:00:00,B09,21.1022,122.9463,5.32,1020.2,0.57
2023-06-01 01:00:00,B10,24.0472,120.0325,4.06,1058.3,0.33
2023-06-01 02:00:00,B01,23.1971,120.1251,5.12,1047.1,0.54
2023-06-01 02:00:00,B02,21.3751,121.1161,4.15,973.6,0.37
2023-06-01 02:00:00,B03,23.6824,123.3835,6.02,1057.4,0.71
2023-06-01 02:00:00,B04,24.4609,120.4347,4.77,1033.7,0.47
2023-06-01 02:00:00,B05,22.1096,120.149,5.5,1052.5,0.59
2023-06-01 02:00:00,B06,21.0932,122.5268,4.88,988.4,0.5
2023-06-01 02:00:00,B07,20.1327,120.9942,3.46,1001.2,0.27
2023-06-01 02:00:00,B08,23.2494,122.7247,4.65,1023.3,0.49
2023-06-01 02:00:00,B09,21.1022,122.9463,5.88,1029.9,0.69
2023-06-01 02:00:00,B10,24.0472,120.0325,4.16,1026.0,0.35
2023-06-01 03:00:00,B01,23.1971,120.1251,5.02,967.5,0.58
2023-06-01 03:00:00,B02,21.3751,121.1161,4.84,1019.9,0.52
2023-06-01 03:00:00,B03,23.6824,123.3835,6.15,1055.8,0.74
2023-06-01 03:00:00,B04,24.4609,120.4347,5.19,1036.8,0.53
2023-06-01 03:00:00,B05,22.1096,120.149,5.6,1049.9,0.67
